id,nombre,foto
1,Edmundo del Águila,delaguila.png
2,Luis Enrique Galvez,galvez.png
3,Yonhy Lescano,lescano.png
4,Nidia Vilchez ,vilchez.png
5,Juan Sánchez Montes de Oca,montesdeoca.png
6,Rafael Zevallos,zevallos.png
7,Fernando Cillóniz,cilloniz.png
8,Ulises Múñoz,muñoz.png
9,Oscar Quintanilla,quintanilla.png
10,Ciro Gálvez Herrera,galvezherrera.png
11,Richard Arce,arce.png
12,Julio Guzmán,guzman.png
13,Carolina Lizárraga,lizarraga.png
14,José Vega,vega.png
15,Fredy Serna Guzmán,sernaguzman.png
16,Alberto Beingolea,beingolea.png
17,Andrés Alcántara,alcantara.png
18,César Acuña,acuña.png
19,Daniel Salaverry,salaverry.png
20,Daniel Urresti,urresti.png
21,Francisco Diez Canseco,diezcanseco.png
22,George Forsyth,forsyth.png
23,Hernando de Soto,desoto.png
24,Keiko Fujimori,fujimori.png
25,Marco Arana,arana.png
26,Ollanta Humala,humala.png
27,Pedro Castillo,castillo.png
28,Rafael López Aliaga,lopezaliaga.png
29,Rafael Santos,santos.png
30,Verónika Mendoza,mendoza.png
31,Virgilio Acuña,acuña.png
